mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ridge__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,mean_train_score,std_train_score
1.4340551793575287,0.6949354380819988,0.13074859976768494,0.02827320923965504,0.835149316084592,{'ridge__alpha': 0.835149316084592},-0.9040118286584986,-0.8750031187024085,-0.9445429040999821,-0.7658851998958199,-1.0225643379487321,-1.0887193614811088,-1.0315103499988354,-0.8310828825391344,-0.932914997915565,0.10285072169457635,5,-0.7909776777141757,-0.7769547907007193,-0.7677705932171845,-0.7893563916383403,-0.782210581171187,-0.8120343639660429,-0.8466765604027894,-0.8673869163688934,-0.8041709843974165,0.0331781465575143
1.4887388348579407,0.7497753401327671,0.12890565395355225,0.01774133285353629,0.05205560410116556,{'ridge__alpha': 0.05205560410116556},-0.9040339674190008,-0.8754066944732737,-0.9444121947817795,-0.765886213480494,-1.0225596211088193,-1.0887175047408582,-1.031442181459189,-0.8310836575670656,-0.93294275437881,0.10281045694890364,9,-0.7909776097939857,-0.776954725862919,-0.7677675770247168,-0.7893563873296824,-0.7822105912405288,-0.8120343626031077,-0.846677456631281,-0.8673869154782243,-0.8041707032455558,0.03317871291322437
1.500193476676941,0.7273080057461525,0.14085572957992554,0.025939330768582746,0.019177810359229393,{'ridge__alpha': 0.019177810359229393},-0.9040652417584139,-0.8754160462359362,-0.9446464575974491,-0.7657644469233016,-1.02255845752557,-1.0887219898266496,-1.0315137796463751,-0.8310834107005144,-0.9329712287767762,0.10284606635365183,18,-0.7909776002816208,-0.7769547430913125,-0.7677705946527702,-0.7893567292013418,-0.7822105769985869,-0.81203436237654,-0.8466765586911285,-0.8673869154748306,-0.8041710100960164,0.03317813606167863
1.4967733919620514,0.7043562885580636,0.11779290437698364,0.0076172306882735675,0.04611525857300575,{'ridge__alpha': 0.04611525857300575},-0.9375688118461601,-0.8754509487204633,-0.9446454653799672,-0.7658941301190982,-1.0225496403589864,-1.0887217297633005,-1.0315136086622791,-0.8310834559180745,-0.9371784738460411,0.1022334259587702,47,-0.7909687933106192,-0.7769547261763522,-0.7677705776244667,-0.7893563856746878,-0.7822105800667297,-0.8120343615693338,-0.8466765589862429,-0.8673869154764872,-0.8041698623606149,0.03317859696356051
1.4776893556118011,0.6642479692367907,0.1332513689994812,0.025386991632131442,0.22842618280462534,{'ridge__alpha': 0.22842618280462534},-0.9368571814268403,-0.8753217807834566,-0.9446202292383773,-0.7657661992412642,-1.0225545970672572,-1.0887176438001316,-1.0314332120874663,-0.8310832979181858,-0.9370442676953724,0.10226014723880361,33,-0.7909688016881662,-0.7769547409856286,-0.7677705962814061,-0.7893567288127669,-0.7822105807572763,-0.8120343615258341,-0.8466774552844654,-0.8673869155408835,-0.8041700226095534,0.03317871681396458
1.455853432416916,0.6974843183136012,0.13583555817604065,0.032269614803647644,0.6894100618733768,{'ridge__alpha': 0.6894100618733768},-0.9351155054317517,-0.8751042468606934,-0.9443108978288528,-0.76575593523662,-1.0225568248863608,-1.0887151403180872,-1.0314398844851471,-0.8310830883273665,-0.93676019042186,0.10227835334110713,27,-0.7909688873585379,-0.7769547756313747,-0.7677675962761765,-0.7893567337687217,-0.7822105812063868,-0.8120343632656568,-0.8466774574210283,-0.8673869160836362,-0.80416966387644,0.033179120625153435
1.5419312715530396,0.7814081978891094,0.11958849430084229,0.012940860193987656,0.08880718424506144,{'ridge__alpha': 0.08880718424506144},-0.904039418038937,-0.8754139052996638,-0.9446413018851825,-0.765769668888841,-1.0225500925789028,-1.0887240125970512,-1.0314445775367642,-0.8310833820686082,-0.9329582948617439,0.10283717851908108,13,-0.7909776097204447,-0.7769547392736607,-0.7677705765453543,-0.7893567288864409,-0.7822105798494123,-0.8120343626091031,-0.8466774570455754,-0.8673869154840691,-0.8041711211767576,0.0331782821227752
1.4605470895767212,0.6851901536882797,0.14990758895874023,0.04108554843195428,0.10871788535984625,{'ridge__alpha': 0.10871788535984625},-0.9373313006841726,-0.8754265772617255,-0.9446400420156819,-0.7658724063432027,-1.022556404754204,-1.088727414557341,-1.0314441212177912,-0.8310833833425151,-0.9371352062720792,0.10223343502385766,37,-0.7909687932804649,-0.7769547423436722,-0.767769245960533,-0.7893563950554664,-0.782210580270965,-0.8120343667123417,-0.8466774554747312,-0.8673869154892654,-0.80416981182343,0.03317892110869999
1.37859046459198,0.6872557553660491,0.10900372266769409,0.004498018755686628,0.2507158938933743,{'ridge__alpha': 0.2507158938933743},-0.9040425645940412,-0.8753419849755096,-0.944618379317791,-0.76576328146344,-1.0225532846438032,-1.0887184998136505,-1.031440018989361,-0.8310833570544742,-0.9329451713565089,0.1028418348119344,10,-0.7909776064763123,-0.7769547306906158,-0.7677705788279708,-0.789356729577832,-0.7822105805690686,-0.8120343618812416,-0.8466774665864173,-0.867386915554384,-0.8041711212704803,0.03317828427604304
1.417938619852066,0.6424477129207428,0.14286193251609802,0.033518549188901584,0.01339782711882512,{'ridge__alpha': 0.01339782711882512},-0.904046611861863,-0.8754470341609402,-0.944407277294997,-0.7658834644602217,-1.0225492027596543,-1.0887111360138182,-1.0314549333215677,-0.8310832571204572,-0.93294786462419,0.10280691684597752,11,-0.7909776099925192,-0.7769547262190739,-0.7677675829389785,-0.789356388793188,-0.7822105795242776,-0.8120343624363596,-0.8466774534089527,-0.8673869154749017,-0.8041707023485314,0.0331787124215968
